sentence,translation,pronunciation,tts_pronunciation,tags,cloze,key_meaning
サイズが合わなかった。,The size didn't fit.,サイズが合わ【あわ】なかった。,サイズが、あわなかった。,shopping,サイズ,size
思っていたのと違った。,It was different from what I expected.,思っ【おもっ】ていたのと違っ【ちがっ】た。,おもっていたのとちがった。,shopping,違う,different
写真と違う商品が届いた。,A different product from the photo arrived.,写真【しゃしん】と違う【ちがう】商品【しょうひん】が届い【とどい】た。,しゃしんとちがうしょうひんが、とどいた。,shopping,商品,product
商品が届かない。,The product hasn't arrived.,商品【しょうひん】が届か【とどか】ない。,しょうひんが、とどかない。,shopping,商品,product
配送状況を確認したい。,I want to check the delivery status.,配送【はいそう】状況【じょうきょう】を確認【かくにん】したい。,はいそうじょうきょうを、かくにんしたい。,shopping,配送状況,delivery status
カスタマーサービスに連絡したい。,I want to contact customer service.,カスタマーサービスに連絡【れんらく】したい。,カスタマーサービスにれんらくしたい。,shopping,配送状況,delivery status
問い合わせ番号を教えてください。,Please tell me the inquiry number.,問い合わせ【といあわせ】番号【ばんごう】を教え【おしえ】てください。,といあわせばんごうを、おしえてください。,shopping,問い合わせ番号,inquiry number
口コミを見て買った。,I bought it after reading reviews.,口コミ【くちこみ】を見【み】て買っ【かっ】た。,くちこみを、みてかった。,shopping,口コミ,reviews
評価が高かったので。,Because it had high ratings.,評価【ひょうか】が高かっ【たかかっ】たので。,ひょうかが、たかかったので。,shopping,評価,rating
お気に入りに登録した。,I added it to my favorites.,お気【き】に入り【はいり】に登録【とうろく】した。,おきにはいりにとうろくした。,shopping,お気に入り,favorites
カートに入れたままだった。,I left it in my cart.,カートに入れ【いれ】たままだった。,カートにいれたままだった。,shopping,カート,cart
売り切れになってた。,It was sold out.,売り切れ【うりきれ】になってた。,うりきれになってた。,shopping,売り切れ,sold out
再入荷通知を設定した。,I set up a restock notification.,再【さい】入荷【にゅうか】通知【つうち】を設定【せってい】した。,さいにゅうかつうちを、せっていした。,shopping,再入荷通知,restock notification
クーポンを使いたい。,I want to use a coupon.,クーポンを使い【つかい】たい。,クーポンを、つかいたい。,shopping,クーポン,coupon
ポイントを使って払います。,I'll pay with points.,ポイントを使っ【つかっ】て払い【はらい】ます。,ポイントを、つかってはらいます。,shopping,ポイント,point card
送料無料になるまであと少し。,Just a little more for free shipping.,送料【そうりょう】無料【むりょう】になるまであと少し【すこし】。,そうりょうむりょうになるまであとすこし。,shopping,送料無料,free shipping
お買い物マラソン中だね。,It's a shopping marathon.,お買い物【かいもの】マラソン中【ちゅう】だね。,おかいものマラソンちゅうだね。,shopping,お買い物マラソン,shopping marathon
タイムセールを狙おう。,Let's aim for the time sale.,タイムセールを狙おう【ねらおう】。,タイムセールを、ねらおう。,shopping,タイムセール,time sale
ポイント還元率がいい。,The point return rate is good.,ポイント還元【かんげん】率【りつ】がいい。,ポイントかんげんりつが、いい。,shopping,ポイント還元率,point return rate
比較してから買おう。,Let's compare before buying.,比較【ひかく】してから買おう【かおう】。,ひかくしてからかおう。,shopping,比較,compare
最安値を探して。,Find the lowest price.,最【さい】安値【やすね】を探し【さがし】て。,さいやすねを、さがして。,shopping,最安値,find
偽物に気をつけて。,Be careful of fakes.,偽物【にせもの】に気【き】をつけて。,にせものにきを、つけて。,shopping,偽物,fake
公式サイトで買った方がいい。,It's better to buy from the official site.,公式【こうしき】サイトで買っ【かっ】た方【ほう】がいい。,こうしきサイトでかったほうが、いい。,shopping,公式サイト,official site
ママ友とランチに行ってくる。,I'm going to lunch with mom friends.,ママ友【とも】とランチに行っ【いっ】てくる。,ママともとランチにいってくる。,social,ママ友,mom friends
公園で会おう。,Let's meet at the park.,公園【こうえん】で会おう【あおう】。,こうえんであおう。,social,ママ友,mom friends
子供を預かってもらえる?,Can you watch my child?,子供【こども】を預かっ【あずかっ】てもらえる?,こどもを、あずかってもらえる?,social,子供,children
お互い様だよ。,We help each other.,お互い【たがい】様【さま】だよ。,おたがいさまだよ。,social,お互い様,mutual help
いつもありがとう。,Thank you as always.,いつもありがとう。,いつもありがとう。,social,いつも,always
お返しに何か持っていくね。,I'll bring something in return.,お返し【がえし】に何【なん】か持っ【もっ】ていくね。,おがえしになんかもっていくね。,social,お返し,return gift
手作りのお菓子を焼いたの。,I baked homemade sweets.,手作り【てづくり】のお菓子【かし】を焼い【やい】たの。,てづくりのおかしを、やいたの。,social,お菓子,sweets
よかったら食べてね。,Please have some if you'd like.,よかったら食べ【たべ】てね。,よかったらたべてね。,social,食べる,eat
お口に合うといいけど。,I hope it suits your taste.,お口【くち】に合う【あう】といいけど。,おくちにあうといいけど。,social,お口に合う,suit taste
レシピを教えてもらえる?,Can you teach me the recipe?,レシピを教え【おしえ】てもらえる?,レシピを、おしえてもらえる?,social,レシピ,recipe
どうやって作るの?,How do you make it?,どうやって作る【つくる】の?,どうやってつくるの?,social,作,meal prep
コツはなに?,What's the trick?,コツはなに?,コツはなに?,social,コツ,what's
すごく美味しい!,It's so delicious!,すごく美味しい【おいしい】!,すごくおいしい!,social,美味,delicious
また作ってね。,Make it again.,また作っ【つくっ】てね。,また、つくってね。,social,作る,make
今度一緒に作ろう。,Let's make it together next time.,今度【こんど】一緒【いっしょ】に作ろう【つくろう】。,こんどいっしょにつくろう。,social,一緒,together
習い事の情報を教えて。,Tell me about lessons.,習い事【ならいごと】の情報【じょうほう】を教え【おしえ】て。,ならいごとのじょうほうを、おしえて。,social,習い事,lessons
いい先生がいるって聞いた。,I heard there's a good teacher.,いい先生【せんせい】がいるって聞い【きい】た。,いいせんせいが、いるってきいた。,social,先生,teacher
月謝はいくら?,How much is the monthly fee?,月謝【げっしゃ】はいくら?,げっしゃはいくら?,social,月謝,monthly fee
送り迎えは大変?,Is driving back and forth hard?,送り迎え【おくりむかえ】は大変【たいへん】?,おくりむかえはたいへん?,social,送り迎え,pickup/dropoff
発表会はいつ?,When is the recital?,発表【はっぴょう】会【かい】はいつ?,はっぴょうかいはいつ?,social,発表会,recital
見に行ってもいい?,Can I come watch?,見【み】に行っ【いっ】てもいい?,みにいってもいい?,social,見に行く,go see
応援に行くね。,I'll come cheer.,応援【おうえん】に行く【いく】ね。,おうえんにいくね。,social,応援,cheering
写真を撮ってもいい?,Can I take a photo?,写真【しゃしん】を撮っ【とっ】てもいい?,しゃしんを、とってもいい?,social,写真,photograph
動画を送るね。,I'll send the video.,動画【どうが】を送る【おくる】ね。,どうがを、おくるね。,social,動画,video
LINEで送って。,Send it via LINE.,LINEで送っ【おくっ】て。,LINEでおくって。,social,送る,send
グループに入れてもらえる?,Can you add me to the group?,グループに入れ【いれ】てもらえる?,グループにいれてもらえる?,social,グループ,group
返事が遅くなってごめんね。,Sorry for the late reply.,返事【へんじ】が遅く【おそく】なってごめんね。,へんじが、おそくなってごめんね。,social,返事,sorry
既読スルーしてた。,I read it but forgot to reply.,既読【きどく】スルーしてた。,きどくスルーしてた。,social,既読スルー,read but not reply
また今度ゆっくり話そう。,Let's talk properly next time.,また今度【こんど】ゆっくり話そう【はなそう】。,また、こんどゆっくりはなそう。,social,今度,next time
飲み会はちょっと。,I'll pass on the drinking party.,飲み会【のみかい】はちょっと。,のみかいはちょっと。,social,飲み会,drinking party
子供がいるから難しいな。,It's difficult with kids.,子供【こども】がいるから難しい【むずかしい】な。,こどもが、いるからむずかしいな。,social,子供,children
預けられたら行けるんだけど。,I could go if I could find childcare.,預け【あずけ】られたら行ける【いける】んだけど。,あずけられたらいけるんだけど。,social,預ける,leave/entrust
旦那に聞いてみるね。,I'll ask my husband.,旦那【だんな】に聞い【きい】てみるね。,だんなにきいてみるね。,social,旦那,husband
土日なら大丈夫かも。,Weekends might work.,土日【どにち】なら大丈夫【だいじょうぶ】かも。,どにちならだいじょうぶかも。,social,土日,weekends
平日は忙しいんだ。,Weekdays are busy.,平日【へいじつ】は忙しい【いそがしい】んだ。,へいじつはいそがしいんだ。,social,平日,weekdays
また誘ってね。,Invite me again.,また誘っ【さそっ】てね。,また、さそってね。,social,誘,invite
楽しかったね。,It was fun.,楽しかっ【たのしかっ】たね。,たのしかったね。,social,楽,fun
久しぶりに息抜きできた。,I was able to relax for the first time in a while.,久し【ひさし】ぶりに息抜き【いきぬき】できた。,ひさしぶりにいきぬきできた。,social,久しぶり,first time in a while
ストレス発散になった。,It was stress relief.,ストレス発散【はっさん】になった。,ストレスはっさんになった。,social,ストレス発散,stress relief
また行こうね。,Let's go again.,また行こう【いこう】ね。,また、いこうね。,social,行く,go
子育ての相談していい?,Can I ask for parenting advice?,子育て【こそだて】の相談【そうだん】していい?,こそだてのそうだんしていい?,social,相談,consultation
うちの子もそうだった。,My kid was the same.,うちの子【こ】もそうだった。,うちのこもそうだった。,social,子,child
そのうち落ち着くよ。,They'll settle down eventually.,そのうち落ち着く【おちつく】よ。,そのうちおちつくよ。,social,落ち着く,settle down
大変だよね、分かる。,It's hard I understand.,大変【たいへん】だよね、分かる【わかる】。,たいへんだよね、わかる。,social,大変,hard
無理しないでね。,Don't push yourself.,無理【むり】しないでね。,むりしないでね。,social,無理,push too hard
いつでも連絡してね。,Contact me anytime.,いつでも連絡【れんらく】してね。,いつでもれんらくしてね。,social,連絡,contact
話を聞くだけでもできるよ。,I can at least listen.,話【はなし】を聞く【きく】だけでもできるよ。,はなしを、きくだけでもできるよ。,social,話を聞く,listen
一人で抱え込まないで。,Don't keep it all to yourself.,一人【ひとり】で抱え込ま【かかえこま】ないで。,ひとりでかかえこまないで。,social,抱え込む,keep to oneself
市の子育て支援センターに行ってみたら?,Why not try the city's parenting support center?,市【し】の子育て【こそだて】支援【しえん】センターに行っ【いっ】てみたら?,しのこそだてしえんセンターにいってみたら?,social,子育て支援センター,parenting support center
保健師さんに相談できるよ。,You can consult with a public health nurse.,保健【ほけん】師【し】さんに相談【そうだん】できるよ。,ほけんしさんにそうだんできるよ。,social,保健師,public health nurse
同じ悩みの人がいると思う。,I think there are others with the same worries.,同じ【おなじ】悩み【なやみ】の人【ひと】がいると思う【おもう】。,おなじなやみのひとが、いるとおもう。,social,悩み,worry
泣きたい時は泣いていいよ。,It's okay to cry when you need to.,泣き【なき】たい時【とき】は泣い【ない】ていいよ。,なきたいときはないていいよ。,social,泣く,cry
完璧じゃなくていいんだよ。,You don't have to be perfect.,完璧【かんぺき】じゃなくていいんだよ。,かんぺきじゃなくていいんだよ。,social,完璧,perfect
十分頑張ってるよ。,You're doing great.,十分【じゅうぶん】頑張っ【がんばっ】てるよ。,じゅうぶんがんばってるよ。,social,十分,enough
自分を褒めてあげて。,Give yourself credit.,自分【じぶん】を褒め【ほめ】てあげて。,じぶんを、ほめてあげて。,social,褒める,praise
たまには休んでね。,Take a break sometimes.,たまには休ん【やすん】でね。,たまにはやすんでね。,social,休む,rest
リフレッシュも大事だよ。,Refreshing is important too.,リフレッシュも大事【だいじ】だよ。,リフレッシュもだいじだよ。,social,リフレッシュ,refresh
自分の時間も作ってね。,Make time for yourself.,自分【じぶん】の時間【じかん】も作っ【つくっ】てね。,じぶんのじかんもつくってね。,social,時間,time
趣味を持つといいよ。,It's good to have hobbies.,趣味【しゅみ】を持つ【もつ】といいよ。,しゅみを、もつといいよ。,social,趣味,hobby
運動するとスッキリするよ。,Exercise helps clear your mind.,運動【うんどう】するとスッキリするよ。,うんどうするとスッキリするよ。,social,運動,exercise
散歩でも気分転換になるよ。,Even a walk can be a change of pace.,散歩【さんぽ】でも気分【きぶん】転換【てんかん】になるよ。,さんぽでもきぶんてんかんになるよ。,social,気分転換,even
今日も1日お疲れ様。,Good work today.,今日【きょう】も1日【ついたち】お疲れ【つかれ】様【さま】。,きょうも1ついたちおつかれさま。,social,お疲れ様,good work
明日も頑張ろうね。,Let's do our best tomorrow too.,明日【あす】も頑張ろう【がんばろう】ね。,あすもがんばろうね。,social,明日,tomorrow
おやすみ、良い夢を。,Good night sweet dreams.,おやすみ、良い【よい】夢【ゆめ】を。,おやすみ、よいゆめを。,social,夢,dream
今日もいい1日になりますように。,May today be a good day.,今日【きょう】もいい1日【いちにち】になりますように。,きょうもいい1いちにちになりますように。,social,いい1日,good day
熱があるみたい。,It seems like you have a fever.,熱【ねつ】があるみたい。,ねつが、あるみたい。,child-health,熱,fever
体温を測ってみて。,Try taking your temperature.,体温【たいおん】を測っ【はかっ】てみて。,たいおんを、はかってみて。,child-health,体温,temperature
病院に連れて行こう。,Let's take you to the doctor.,病院【びょういん】に連れ【つれ】て行こう【いこう】。,びょういんにつれていこう。,child-health,病院,hospital
薬を飲んでね。,Take your medicine.,薬【くすり】を飲ん【のん】でね。,くすりを、のんでね。,child-health,薬,medicine
お腹が痛いの?,Does your stomach hurt?,お腹【おなか】が痛い【いたい】の?,おおなかが、いたいの?,child-health,お腹,stomach
頭が痛いって言ってる。,They say they have a headache.,頭【あたま】が痛い【いたい】って言っ【いっ】てる。,あたまが、いたいっていってる。,child-health,頭,head
吐き気がする?,Do you feel nauseous?,吐き気【はきけ】がする?,はきけが、する?,child-health,吐き気,nausea
よく寝てね。,Get good rest.,よく寝【ね】てね。,よくねてね。,child-health,寝る,sleep
水分をたくさん取って。,Drink lots of fluids.,水分【すいぶん】をたくさん取っ【とっ】て。,すいぶんを、たくさんとって。,child-health,水分,fluids
予防接種の予約を取った。,I made an appointment for vaccination.,予防【よぼう】接種【せっしゅ】の予約【よやく】を取っ【とっ】た。,よぼうせっしゅのよやくを、とった。,child-health,予防接種,vaccination
この子は乳製品アレルギーです。,This child has a dairy allergy.,この子【こ】は乳製品【にゅうせいひん】アレルギーです。,このこはにゅうせいひんアレルギーです。,child-health,乳製品アレルギー,dairy allergy
クラスメイトを呼んでいい?,Can I invite my classmates over?,クラスメイトを呼ん【よん】でいい?,クラスメイトを、よんでいい?,child-health,クラスメイト,classmate
おもちゃを貸してあげて。,Share your toys.,おもちゃを貸し【かし】てあげて。,おもちゃを、かしてあげて。,child-health,おもちゃ,toys
順番に遊んでね。,Take turns playing.,順番【じゅんばん】に遊ん【あそん】でね。,じゅんばんにあそんでね。,child-health,順番,turn
仲間はずれにしないで。,Don't leave anyone out.,仲間【なかま】はずれにしないで。,なかまはずれにしないで。,child-health,仲間,leave
ケンカしないで。,Don't fight.,ケンカしないで。,ケンカしないで。,child-health,ケンカ,fight
仲直りしなさい。,Make up with each other.,仲直り【なかなおり】しなさい。,なかなおりしなさい。,child-health,仲直,make up
謝りなさい。,Apologize.,謝り【あやまり】なさい。,あやまりなさい。,child-health,謝,gratitude
許してあげて。,Forgive them.,許し【ゆるし】てあげて。,ゆるしてあげて。,child-health,許,forgive
優しくしてね。,Be kind.,優しく【やさしく】してね。,やさしくしてね。,child-health,優,kind
思いやりを持って。,Be considerate.,思いやり【おもいやり】を持っ【もっ】て。,おもいやりを、もって。,child-health,思いやり,compassion
危ないことはしないで。,Don't do dangerous things.,危ない【あぶない】ことはしないで。,あぶないことはしないで。,child-health,危,dangerous
気をつけてね。,Be careful.,気【き】をつけてね。,きを、つけてね。,child-health,気をつける,be careful
転ばないでね。,Don't fall.,転ば【ころば】ないでね。,ころばないでね。,child-health,転ぶ,fall
走らないで。,Don't run.,走ら【はしら】ないで。,はしらないで。,child-health,走,run
静かにしなさい。,Be quiet.,静か【しずか】にしなさい。,しずかにしなさい。,child-health,静,quiet
うるさいよ。,You're being loud.,うるさいよ。,うるさいよ。,child-health,うるさいよ,you're
大きな声を出さないで。,Don't shout.,大きな【おおきな】声【こえ】を出さ【ださ】ないで。,おおきなこえを、ださないで。,child-health,声,shout
行儀よくしなさい。,Behave yourself.,行儀【ぎょうぎ】よくしなさい。,ぎょうぎよくしなさい。,child-health,行儀,behave
姿勢を良くして。,Sit up straight.,姿勢【しせい】を良く【よく】して。,しせいを、よくして。,child-health,姿勢,posture
肘をつかないで。,Don't put your elbows on the table.,肘【ひじ】をつかないで。,ひじを、つかないで。,child-health,肘,your
口を閉じて食べなさい。,Eat with your mouth closed.,口【くち】を閉じ【とじ】て食べ【たべ】なさい。,くちを、とじてたべなさい。,child-health,口を閉じる,close mouth
お箸の持ち方が違うよ。,That's not how you hold chopsticks.,お箸【はし】の持ち【もち】方【かた】が違う【ちがう】よ。,おはしのもちかたが、ちがうよ。,child-health,お箸の持ち方,how to hold chopsticks
お皿を持って食べて。,Hold your plate while eating.,お皿【さら】を持っ【もっ】て食べ【たべ】て。,おさらを、もってたべて。,child-health,お箸の持ち方,how to hold chopsticks
好き嫌いしないで。,Don't be picky.,好き嫌い【すききらい】しないで。,すききらいしないで。,child-health,好き嫌い,picky eating
食べ物を粗末にしないで。,Don't waste food.,食べ物【たべもの】を粗末【そまつ】にしないで。,たべものを、そまつにしないで。,child-health,食べ物,food
感謝して食べなさい。,Eat with gratitude.,感謝【かんしゃ】して食べ【たべ】なさい。,かんしゃしてたべなさい。,child-health,感謝,gratitude
いただきますを言った?,Did you say itadakimasu?,いただきますを言っ【いっ】た?,いただきますを、いった?,child-health,いただきます,itadakimasu
ごちそうさまは?,Say gochisousama.,ごちそうさまは?,ごちそうさまは?,child-health,ごちそうさまは,gochisousama
ありがとうを言いなさい。,Say thank you.,ありがとうを言い【いい】なさい。,ありがとうを、いいなさい。,child-health,ありがとう,thank you
すみませんを言えた?,Did you say sorry?,すみませんを言え【いえ】た?,すみませんを、いえた?,child-health,すみません,excuse me
挨拶をちゃんとしてね。,Greet people properly.,挨拶【あいさつ】をちゃんとしてね。,あいさつを、ちゃんとしてね。,child-health,挨拶,greeting
大人の人には敬語を使って。,Use polite language with adults.,大人【おとな】の人【ひと】には敬語【けいご】を使っ【つかっ】て。,おとなのひとにはけいごを、つかって。,child-health,敬語,polite language
靴を揃えて。,Line up your shoes.,靴【くつ】を揃え【そろえ】て。,くつを、そろえて。,child-health,靴,line
脱いだ服をたたんで。,Fold the clothes you took off.,脱い【ぬい】だ服【ふく】をたたんで。,ぬいだふくを、たたんで。,child-health,服,clothing
使ったものは元に戻して。,Put things back where you found them.,使っ【つかっ】たものは元【もと】に戻し【もどし】て。,つかったものはもとにもどして。,child-health,元に戻す,put back
自分のことは自分でやって。,Do your own things yourself.,自分【じぶん】のことは自分【じぶん】でやって。,じぶんのことはじぶんでやって。,child-health,自分,yourself
お手伝いしてくれる?,Can you help me?,お手伝い【てつだい】してくれる?,おてつだいしてくれる?,child-health,手伝,help
ありがとう助かるよ。,Thank you that helps.,ありがとう助かる【たすかる】よ。,ありがとうたすかるよ。,child-health,助かる,helpful
よくできました。,Well done.,よくできました。,よくできました。,child-health,よくできました,well done
その調子。,Keep it up.,その調子【ちょうし】。,そのちょうし。,child-health,調子,child
すごいね。,That's amazing.,すごいね。,すごいね。,child-health,すごいね,that's
上手になったね。,You've gotten better.,上手【じょうず】になったね。,じょうずになったね。,child-health,上手,you've
頑張ってるね。,You're working hard.,頑張っ【がんばっ】てるね。,がんばってるね。,child-health,頑張,tried hard
諦めないで。,Don't give up.,諦め【あきらめ】ないで。,あきらめないで。,child-health,諦める,give up
もう少しだよ。,Just a little more.,もう少し【すこし】だよ。,もうすこしだよ。,child-health,もう少し,a little more
自信を持って。,Have confidence.,自信【じしん】を持っ【もっ】て。,じしんを、もって。,child-health,自信,confidence
失敗しても大丈夫。,It's okay to fail.,失敗【しっぱい】しても大丈夫【だいじょうぶ】。,しっぱいしてもだいじょうぶ。,child-health,失敗,okay
次があるよ。,There's always next time.,次【つぎ】があるよ。,つぎが、あるよ。,child-health,次,next time
一緒にやろう。,Let's do it together.,一緒【いっしょ】にやろう。,いっしょにやろう。,child-health,一緒,together
分からないことは聞いてね。,Ask if you don't understand.,分から【わから】ないことは聞い【きい】てね。,わからないことはきいてね。,child-health,分からない,not understand
洗濯物を干してください。,Please hang the laundry.,洗濯【せんたく】物【ぶつ】を干し【ほし】てください。,せんたくぶつを、ほしてください。,laundry,洗濯物,laundry
洗濯機を回します。,I'll start the washing machine.,洗濯【せんたく】機【き】を回し【まわし】ます。,せんたくきを、まわします。,laundry,洗濯機,washing machine
乾燥機を使ってもいい?,Can I use the dryer?,乾燥【かんそう】機【き】を使っ【つかっ】てもいい?,かんそうきを、つかってもいい?,laundry,乾燥機,dryer
この服は手洗いです。,This clothing is hand-wash only.,この服【ふく】は手洗い【てあらい】です。,このふくはてあらいです。,laundry,服,clothing
洗濯物をたたんでくれる?,Can you fold the laundry?,洗濯【せんたく】物【ぶつ】をたたんでくれる?,せんたくぶつを、たたんでくれる?,laundry,たたむ,fold
アイロンをかけなきゃ。,I need to iron this.,アイロンをかけなきゃ。,アイロンを、かけなきゃ。,laundry,アイロン,iron
シミが取れない。,The stain won't come out.,シミが取れ【とれ】ない。,シミが、とれない。,laundry,シミ,stain
漂白剤を使いましょう。,Let's use bleach.,漂白【ひょうはく】剤【ざい】を使い【つかい】ましょう。,ひょうはくざいを、つかいましょう。,laundry,漂白剤,bleach
柔軟剤を入れて。,Add fabric softener.,柔軟【じゅうなん】剤【ざい】を入れ【いれ】て。,じゅうなんざいを、いれて。,laundry,柔軟剤,fabric softener
洗濯ネットに入れてね。,Put it in a laundry net.,洗濯【せんたく】ネットに入れ【いれ】てね。,せんたくネットにいれてね。,laundry,洗濯ネット,laundry net
雨だから部屋干しにする。,It's raining so I'll dry inside.,雨【あめ】だから部屋干し【へやほし】にする。,あめだからへやほしにする。,laundry,部屋干し,indoor drying
洗濯物が乾いた。,The laundry is dry.,洗濯【せんたく】物【ぶつ】が乾い【かわい】た。,せんたくぶつが、かわいた。,laundry,乾く,dry
色物と白い物を分けて。,Separate colors and whites.,色物【いろもの】と白い物【しろいもの】を分け【わけ】て。,いろものとしろいものを、わけて。,laundry,分ける,separate
ハンガーが足りない。,We don't have enough hangers.,ハンガーが足り【たり】ない。,ハンガーが、たりない。,laundry,ハンガー,hanger
洗濯バサミを取って。,Pass me the clothespins.,洗濯【せんたく】バサミを取っ【とっ】て。,せんたくバサミを、とって。,laundry,洗濯バサミ,clothespins
布団を干したい。,I want to air out the futon.,布団【ふとん】を干し【ほし】たい。,ふとんを、ほしたい。,laundry,布団,futon
毛布を洗濯機で洗える?,Can I wash the blanket in the machine?,毛布【もうふ】を洗濯【せんたく】機【き】で洗える【あらえる】?,もうふを、せんたくきであらえる?,laundry,毛布,blanket
脱水が終わった。,The spin cycle is done.,脱水【だっすい】が終わっ【おわっ】た。,だっすいが、おわった。,laundry,脱水,spin cycle
今日は洗濯日和だね。,It's a perfect day for laundry.,今日【きょう】は洗濯【せんたく】日和【びより】だね。,きょうはせんたくびよりだね。,laundry,洗濯日和,good laundry weather
タオルがごわごわになった。,The towels have become stiff.,タオルがごわごわになった。,タオルが、ごわごわになった。,laundry,ごわごわ,stiff
お正月の準備をしよう。,Let's prepare for New Year.,お正月【しょうがつ】の準備【じゅんび】をしよう。,おしょうがつのじゅんびを、しよう。,seasonal-events,お正月,New Year
おせち料理を作る。,I'll make New Year dishes.,おせち料理【りょうり】を作る【つくる】。,おせちりょうりを、つくる。,seasonal-events,おせち料理,New Year dishes
年賀状を書かなきゃ。,I need to write New Year cards.,年賀【ねんが】状【じょう】を書か【かか】なきゃ。,ねんがじょうを、かかなきゃ。,seasonal-events,年賀状,New Year cards
ひな人形を飾ろう。,Let's display the hina dolls.,ひな人形【にんぎょう】を飾ろう【かざろう】。,ひなにんぎょうを、かざろう。,seasonal-events,ひな人形,hina dolls
こどもの日にはこいのぼりを出そう。,Let's put out the carp streamers for Children's Day.,こどもの日【ひ】にはこいのぼりを出そう【だそう】。,こどものひにはこいのぼりを、だそう。,seasonal-events,こいのぼり,carp streamers
お盆に帰省する。,I'll go home for Obon.,お盆【ぼん】に帰省【きせい】する。,おぼんにきせいする。,seasonal-events,お盆,Obon
七五三の写真を撮ろう。,Let's take photos for Shichi-Go-San.,七五三【しちごさん】の写真【しゃしん】を撮ろう【とろう】。,しちごさんのしゃしんを、とろう。,seasonal-events,七五三,Shichi-Go-San
クリスマスの飾りつけをしよう。,Let's put up Christmas decorations.,クリスマスの飾りつけ【かざりつけ】をしよう。,クリスマスのかざりつけを、しよう。,seasonal-events,飾りつけ,decorations
クリスマスのプレゼントを買わなきゃ。,I need to buy Christmas presents.,クリスマスのプレゼントを買わ【かわ】なきゃ。,クリスマスのプレゼントを、かわなきゃ。,seasonal-events,プレゼント,present
クリスマスツリーを飾ろう。,Let's decorate the Christmas tree.,クリスマスツリーを飾ろう【かざろう】。,クリスマスツリーを、かざろう。,seasonal-events,クリスマスツリー,Christmas
サンタさんが来るよ。,Santa is coming.,サンタさんが来る【くる】よ。,サンタさんが、くるよ。,seasonal-events,サンタ,santa
クリスマスケーキを予約した。,I reserved a Christmas cake.,クリスマスケーキを予約【よやく】した。,クリスマスケーキを、よやくした。,seasonal-events,クリスマスケーキ,cake
チキンを焼こう。,Let's roast chicken.,チキンを焼こう【やこう】。,チキンを、やこう。,seasonal-events,チキン,roast
除夜の鐘を聞きに行こう。,Let's go listen to the New Year bells.,除夜【じょや】の鐘【かね】を聞き【きき】に行こう【いこう】。,じょやのかねを、ききにいこう。,seasonal-events,除夜の鐘,New Year's bell
初詣に行く?,Are you going for the first shrine visit?,初詣【はつもうで】に行く【いく】?,はつもうでにいく?,seasonal-events,初詣,first shrine visit
お年玉を準備しなきゃ。,I need to prepare New Year money.,お年玉【としだま】を準備【じゅんび】しなきゃ。,おとしだまを、じゅんびしなきゃ。,seasonal-events,お年玉,New Year's money
年越しそばを食べよう。,Let's eat New Year's Eve soba.,年越し【としこし】そばを食べよう【たべよう】。,としこしそばを、たべよう。,seasonal-events,お年玉,New Year's money
お雑煮を作ります。,I'll make ozoni.,お雑煮【ぞうに】を作り【つくり】ます。,おぞうにを、つくります。,seasonal-events,お雑煮,ozoni
凧揚げをしよう。,Let's fly kites.,凧揚げ【たこあげ】をしよう。,たこあげを、しよう。,seasonal-events,凧揚げ,kite flying
羽子板で遊ぼう。,Let's play hanetsuki.,羽子板【はごいた】で遊ぼう【あそぼう】。,はごいたであそぼう。,seasonal-events,羽子板,hanetsuki paddle
福袋を買いに行こう。,Let's go buy lucky bags.,福袋【ふくぶくろ】を買い【かい】に行こう【いこう】。,ふくぶくろを、かいにいこう。,seasonal-events,福袋,lucky bag
バレンタインのチョコを作ろう。,Let's make Valentine's chocolates.,バレンタインのチョコを作ろう【つくろう】。,バレンタインのチョコを、つくろう。,seasonal-events,チョコ,valentine's
ホワイトデーのお返しを買わなきゃ。,I need to buy White Day gifts.,ホワイトデーのお返し【がえし】を買わ【かわ】なきゃ。,ホワイトデーのおがえしを、かわなきゃ。,seasonal-events,ホワイトデー,White Day
お花見に行こう。,Let's go cherry blossom viewing.,お花見【はなみ】に行こう【いこう】。,おはなみにいこう。,seasonal-events,お花見,cherry blossom viewing
桜が満開だね。,The cherry blossoms are in full bloom.,桜【さくら】が満開【まんかい】だね。,さくらが、まんかいだね。,seasonal-events,満開,full bloom
ゴールデンウィークの予定は?,What are your Golden Week plans?,ゴールデンウィークの予定【よてい】は?,ゴールデンウィークのよていは?,seasonal-events,ゴールデンウィーク,Golden Week
母の日に何をあげよう。,What should I give for Mother's Day.,母【はは】の日【ひ】に何【なに】をあげよう。,ははのひになにを、あげよう。,seasonal-events,母,mother
父の日のプレゼントは?,What about the Father's Day present?,父【ちち】の日【ひ】のプレゼントは?,ちちのひのプレゼントは?,seasonal-events,父,father
夏休みの計画を立てよう。,Let's plan summer vacation.,夏休み【なつやすみ】の計画【けいかく】を立てよう【たてよう】。,なつやすみのけいかくを、たてよう。,seasonal-events,計画,plan
プール開きだね。,The pool is opening.,プール開き【びらき】だね。,プールびらきだね。,seasonal-events,プール,pool
花火大会に行こう。,Let's go to the fireworks festival.,花火【はなび】大会【たいかい】に行こう【いこう】。,はなびたいかいにいこう。,seasonal-events,花火大会,fireworks festival
