Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent,Audio
公園で会おう。,Let's meet at the park.,ママ友,公園【こうえん】で会【あ】おう。,Social,polite,mom friends,"<span class=""vocab"">ママ友</span>",
子供を預かってもらえる?,Can you watch my child?,子供,子供【こども】を預【あず】かってもらえる?,Social,polite,children,"<ruby class=""vocab"">子供<rt><span class=""pitch-l"">こ</span><span class=""pitch-h"">ど</span><span class=""pitch-h"">も</span></rt></ruby>",
お互い様だよ。,We help each other.,お互い様,お互【たが】い様【さま】だよ。,Social,polite,mutual help,"<ruby class=""vocab"">お互い様<rt>おたがいさま</rt></ruby>",
いつもありがとう。,Thank you as always.,いつも,いつもありがとう。,Social,polite,always,"<span class=""vocab"">いつも</span>",
お返しに何か持っていくね。,I'll bring something in return.,お返し,お返【がえ】しに何【なん】か持【も】っていくね。,Social,polite,return gift,"<ruby class=""vocab"">お返し<rt>おがえし</rt></ruby>",
手作りのお菓子を焼いたの。,I baked homemade sweets.,お菓子,手作【てづく】りのお菓子【かし】を焼【や】いたの。,Social,polite,sweets,"<ruby class=""vocab"">お菓子<rt>かし</rt></ruby>",
よかったら食べてね。,Please have some if you'd like.,食べる,よかったら食【た】べてね。,Social,polite,eat,"<ruby class=""vocab"">食べる<rt><span class=""pitch-l"">た</span><span class=""pitch-h"">べ</span><span class=""pitch-l"">る</span></rt></ruby>",
お口に合うといいけど。,I hope it suits your taste.,お口に合う,お口【くち】に合【あ】うといいけど。,Social,polite,suit taste,"<ruby class=""vocab"">お口に合う<rt>おくちにあう</rt></ruby>",
レシピを教えてもらえる?,Can you teach me the recipe?,レシピ,レシピを教【おし】えてもらえる?,Social,polite,recipe,"<ruby class=""vocab"">レシピ<rt><span class=""pitch-h"">れ</span><span class=""pitch-l"">し</span><span class=""pitch-l"">ぴ</span></rt></ruby>",
どうやって作るの?,How do you make it?,作,どうやって作【つく】るの?,Social,polite,meal prep,"<ruby class=""vocab"">作<rt>つく</rt></ruby>",
コツはなに?,What's the trick?,コツ,コツはなに?,Social,polite,what's,"<ruby class=""vocab"">コツ<rt><span class=""pitch-l"">こ</span><span class=""pitch-h"">つ</span></rt></ruby>",
すごく美味しい!,It's so delicious!,美味,すごく美味【おい】しい!,Social,polite,delicious,"<ruby class=""vocab"">美味<rt><span class=""pitch-h"">お</span><span class=""pitch-l"">い</span></rt></ruby>",
また作ってね。,Make it again.,作る,また作【つく】ってね。,Social,polite,make,"<ruby class=""vocab"">作る<rt><span class=""pitch-l"">つ</span><span class=""pitch-h"">く</span><span class=""pitch-l"">る</span></rt></ruby>",
今度一緒に作ろう。,Let's make it together next time.,一緒,今度【こんど】一緒【いっしょ】に作【つく】ろう。,Social,polite,together,"<ruby class=""vocab"">一緒<rt><span class=""pitch-l"">い</span><span class=""pitch-h"">っ</span><span class=""pitch-h"">しょ</span></rt></ruby>",
習い事の情報を教えて。,Tell me about lessons.,習い事,習【なら】い事【ごと】の情報【じょうほう】を教【おし】えて。,Social,polite,lessons,"<ruby class=""vocab"">習い事<rt><span class=""pitch-l"">な</span><span class=""pitch-h"">ら</span><span class=""pitch-h"">い</span><span class=""pitch-h"">ご</span><span class=""pitch-h"">と</span></rt></ruby>",
いい先生がいるって聞いた。,I heard there's a good teacher.,先生,いい先生【せんせい】がいるって聞【き】いた。,Social,polite,teacher,"<ruby class=""vocab"">先生<rt><span class=""pitch-l"">せ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">せ</span><span class=""pitch-l"">い</span></rt></ruby>",
月謝はいくら?,How much is the monthly fee?,月謝,月謝【げっしゃ】はいくら?,Social,polite,monthly fee,"<ruby class=""vocab"">月謝<rt><span class=""pitch-l"">げ</span><span class=""pitch-h"">っ</span><span class=""pitch-h"">しゃ</span></rt></ruby>",
送り迎えは大変?,Is driving back and forth hard?,送り迎え,送【おく】り迎【むか】えは大変【たいへん】?,Social,polite,pickup/dropoff,"<ruby class=""vocab"">送り迎え<rt><span class=""pitch-l"">お</span><span class=""pitch-h"">く</span><span class=""pitch-h"">り</span><span class=""pitch-h"">む</span><span class=""pitch-h"">か</span><span class=""pitch-h"">え</span></rt></ruby>",
発表会はいつ?,When is the recital?,発表会,発表【はっぴょう】会【かい】はいつ?,Social,polite,recital,"<ruby class=""vocab"">発表会<rt>はっぴょうかい</rt></ruby>",
見に行ってもいい?,Can I come watch?,見に行く,見【み】に行【い】ってもいい?,Social,polite,go see,"<ruby class=""vocab"">見に行く<rt>みにいく</rt></ruby>",
応援に行くね。,I'll come cheer.,応援,応援【おうえん】に行【い】くね。,Social,polite,cheering,"<ruby class=""vocab"">応援<rt><span class=""pitch-l"">お</span><span class=""pitch-h"">う</span><span class=""pitch-h"">え</span><span class=""pitch-h"">ん</span></rt></ruby>",
写真を撮ってもいい?,Can I take a photo?,写真,写真【しゃしん】を撮【と】ってもいい?,Social,polite,photograph,"<ruby class=""vocab"">写真<rt><span class=""pitch-l"">しゃ</span><span class=""pitch-h"">し</span><span class=""pitch-h"">ん</span></rt></ruby>",
動画を送るね。,I'll send the video.,動画,動画【どうが】を送【おく】るね。,Social,polite,video,"<ruby class=""vocab"">動画<rt><span class=""pitch-l"">ど</span><span class=""pitch-h"">う</span><span class=""pitch-h"">が</span></rt></ruby>",
LINEで送って。,Send it via LINE.,送る,LINEで送【おく】って。,Social,polite,send,"<ruby class=""vocab"">送る<rt><span class=""pitch-l"">お</span><span class=""pitch-h"">く</span><span class=""pitch-h"">る</span></rt></ruby>",
グループに入れてもらえる?,Can you add me to the group?,グループ,グループに入【い】れてもらえる?,Social,polite,group,"<ruby class=""vocab"">グループ<rt><span class=""pitch-l"">ぐ</span><span class=""pitch-h"">る</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">ぷ</span></rt></ruby>",
返事が遅くなってごめんね。,Sorry for the late reply.,返事,返事【へんじ】が遅【おそ】くなってごめんね。,Social,polite,sorry,"<ruby class=""vocab"">返事<rt><span class=""pitch-l"">へ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">じ</span></rt></ruby>",
既読スルーしてた。,I read it but forgot to reply.,既読スルー,既読【きどく】スルーしてた。,Social,polite,read but not reply,"<ruby class=""vocab"">既読スルー<rt>きどくスルー</rt></ruby>",
また今度ゆっくり話そう。,Let's talk properly next time.,今度,また今度【こんど】ゆっくり話【はな】そう。,Social,polite,next time,"<ruby class=""vocab"">今度<rt><span class=""pitch-h"">こ</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">ど</span></rt></ruby>",
飲み会はちょっと。,I'll pass on the drinking party.,飲み会,飲【の】み会【かい】はちょっと。,Social,polite,drinking party,"<ruby class=""vocab"">飲み会<rt><span class=""pitch-l"">の</span><span class=""pitch-h"">み</span><span class=""pitch-h"">か</span><span class=""pitch-h"">い</span></rt></ruby>",
子供がいるから難しいな。,It's difficult with kids.,子供,子供【こども】がいるから難【むずか】しいな。,Social,polite,children,"<ruby class=""vocab"">子供<rt><span class=""pitch-l"">こ</span><span class=""pitch-h"">ど</span><span class=""pitch-h"">も</span></rt></ruby>",
預けられたら行けるんだけど。,I could go if I could find childcare.,預ける,預【あず】けられたら行【い】けるんだけど。,Social,polite,leave/entrust,"<ruby class=""vocab"">預ける<rt><span class=""pitch-l"">あ</span><span class=""pitch-h"">ず</span><span class=""pitch-h"">け</span><span class=""pitch-l"">る</span></rt></ruby>",
旦那に聞いてみるね。,I'll ask my husband.,旦那,旦那【だんな】に聞【き】いてみるね。,Social,polite,husband,"<ruby class=""vocab"">旦那<rt>だんな</rt></ruby>",
土日なら大丈夫かも。,Weekends might work.,土日,土日【どにち】なら大丈夫【だいじょうぶ】かも。,Social,polite,weekends,"<ruby class=""vocab"">土日<rt><span class=""pitch-l"">ど</span><span class=""pitch-h"">に</span><span class=""pitch-h"">ち</span></rt></ruby>",
平日は忙しいんだ。,Weekdays are busy.,平日,平日【へいじつ】は忙【いそが】しいんだ。,Social,polite,weekdays,"<ruby class=""vocab"">平日<rt><span class=""pitch-l"">へ</span><span class=""pitch-h"">い</span><span class=""pitch-h"">じ</span><span class=""pitch-h"">つ</span></rt></ruby>",
また誘ってね。,Invite me again.,誘,また誘【さそ】ってね。,Social,polite,invite,"<ruby class=""vocab"">誘<rt><span class=""pitch-l"">さ</span><span class=""pitch-h"">そ</span></rt></ruby>",
楽しかったね。,It was fun.,楽,楽【たの】しかったね。,Social,polite,fun,"<ruby class=""vocab"">楽<rt>たの</rt></ruby>",
久しぶりに息抜きできた。,I was able to relax for the first time in a while.,久しぶり,久【ひさ】しぶりに息抜【いきぬ】きできた。,Social,polite,first time in a while,"<ruby class=""vocab"">久しぶり<rt>ひさしぶり</rt></ruby>",
ストレス発散になった。,It was stress relief.,ストレス発散,ストレス発散【はっさん】になった。,Social,polite,stress relief,"<ruby class=""vocab"">ストレス発散<rt>はっさん</rt></ruby>",
また行こうね。,Let's go again.,行く,また行【い】こうね。,Social,polite,go,"<ruby class=""vocab"">行く<rt><span class=""pitch-l"">い</span><span class=""pitch-h"">く</span></rt></ruby>",
子育ての相談していい?,Can I ask for parenting advice?,相談,子育【こそだ】ての相談【そうだん】していい?,Social,polite,consultation,"<ruby class=""vocab"">相談<rt><span class=""pitch-l"">そ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">だ</span><span class=""pitch-h"">ん</span></rt></ruby>",
うちの子もそうだった。,My kid was the same.,子,うちの子【こ】もそうだった。,Social,polite,child,"<ruby class=""vocab"">子<rt><span class=""pitch-l"">こ</span></rt></ruby>",
そのうち落ち着くよ。,They'll settle down eventually.,落ち着く,そのうち落【お】ち着【つ】くよ。,Social,polite,settle down,"<ruby class=""vocab"">落ち着く<rt><span class=""pitch-l"">お</span><span class=""pitch-h"">ち</span><span class=""pitch-h"">つ</span><span class=""pitch-h"">く</span></rt></ruby>",
大変だよね、分かる。,It's hard I understand.,大変,大変【たいへん】だよね、分【わ】かる。,Social,polite,hard,"<ruby class=""vocab"">大変<rt><span class=""pitch-l"">た</span><span class=""pitch-h"">い</span><span class=""pitch-h"">へ</span><span class=""pitch-h"">ん</span></rt></ruby>",
無理しないでね。,Don't push yourself.,無理,無理【むり】しないでね。,Social,polite,push too hard,"<ruby class=""vocab"">無理<rt><span class=""pitch-h"">む</span><span class=""pitch-l"">り</span></rt></ruby>",
いつでも連絡してね。,Contact me anytime.,連絡,いつでも連絡【れんらく】してね。,Social,polite,contact,"<ruby class=""vocab"">連絡<rt><span class=""pitch-l"">れ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">ら</span><span class=""pitch-h"">く</span></rt></ruby>",
話を聞くだけでもできるよ。,I can at least listen.,話を聞く,話【はなし】を聞【き】くだけでもできるよ。,Social,polite,listen,"<ruby class=""vocab"">話を聞く<rt>はなしをきく</rt></ruby>",
一人で抱え込まないで。,Don't keep it all to yourself.,抱え込む,一人【ひとり】で抱【かか】え込【こ】まないで。,Social,polite,keep to oneself,"<ruby class=""vocab"">抱え込む<rt><span class=""pitch-l"">か</span><span class=""pitch-h"">か</span><span class=""pitch-h"">え</span><span class=""pitch-h"">こ</span><span class=""pitch-l"">む</span></rt></ruby>",
市の子育て支援センターに行ってみたら?,Why not try the city's parenting support center?,子育て支援センター,市【し】の子育【こそだ】て支援【しえん】センターに行【い】ってみたら?,Social,polite,parenting support center,"<ruby class=""vocab"">子育て支援センター<rt>こそだてしえんセンター</rt></ruby>",
保健師さんに相談できるよ。,You can consult with a public health nurse.,保健師,保健【ほけん】師【し】さんに相談【そうだん】できるよ。,Social,polite,public health nurse,"<ruby class=""vocab"">保健師<rt>ほけんし</rt></ruby>",
同じ悩みの人がいると思う。,I think there are others with the same worries.,悩み,同【おな】じ悩【なや】みの人【ひと】がいると思【おも】う。,Social,polite,worry,"<ruby class=""vocab"">悩み<rt><span class=""pitch-l"">な</span><span class=""pitch-h"">や</span><span class=""pitch-l"">み</span></rt></ruby>",
泣きたい時は泣いていいよ。,It's okay to cry when you need to.,泣く,泣【な】きたい時【とき】は泣【な】いていいよ。,Social,polite,cry,"<ruby class=""vocab"">泣く<rt><span class=""pitch-l"">な</span><span class=""pitch-h"">く</span></rt></ruby>",
完璧じゃなくていいんだよ。,You don't have to be perfect.,完璧,完璧【かんぺき】じゃなくていいんだよ。,Social,polite,perfect,"<ruby class=""vocab"">完璧<rt><span class=""pitch-l"">か</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">ぺ</span><span class=""pitch-h"">き</span></rt></ruby>",
十分頑張ってるよ。,You're doing great.,十分,十分【じゅうぶん】頑張【がんば】ってるよ。,Social,polite,enough,"<ruby class=""vocab"">十分<rt><span class=""pitch-l"">じゅ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">ぶ</span><span class=""pitch-l"">ん</span></rt></ruby>",
自分を褒めてあげて。,Give yourself credit.,褒める,自分【じぶん】を褒【ほ】めてあげて。,Social,polite,praise,"<ruby class=""vocab"">褒める<rt><span class=""pitch-l"">ほ</span><span class=""pitch-h"">め</span><span class=""pitch-l"">る</span></rt></ruby>",
たまには休んでね。,Take a break sometimes.,休む,たまには休【やす】んでね。,Social,polite,rest,"<ruby class=""vocab"">休む<rt><span class=""pitch-l"">や</span><span class=""pitch-h"">す</span><span class=""pitch-l"">む</span></rt></ruby>",
リフレッシュも大事だよ。,Refreshing is important too.,リフレッシュ,リフレッシュも大事【だいじ】だよ。,Social,polite,refresh,"<ruby class=""vocab"">リフレッシュ<rt><span class=""pitch-l"">り</span><span class=""pitch-h"">ふ</span><span class=""pitch-h"">れ</span><span class=""pitch-l"">っ</span><span class=""pitch-l"">しゅ</span></rt></ruby>",
自分の時間も作ってね。,Make time for yourself.,時間,自分【じぶん】の時間【じかん】も作【つく】ってね。,Social,polite,time,"<ruby class=""vocab"">時間<rt><span class=""pitch-l"">じ</span><span class=""pitch-h"">か</span><span class=""pitch-h"">ん</span></rt></ruby>",
趣味を持つといいよ。,It's good to have hobbies.,趣味,趣味【しゅみ】を持【も】つといいよ。,Social,polite,hobby,"<ruby class=""vocab"">趣味<rt><span class=""pitch-h"">しゅ</span><span class=""pitch-l"">み</span></rt></ruby>",
運動するとスッキリするよ。,Exercise helps clear your mind.,運動,運動【うんどう】するとスッキリするよ。,Social,polite,exercise,"<ruby class=""vocab"">運動<rt><span class=""pitch-l"">う</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">ど</span><span class=""pitch-h"">う</span></rt></ruby>",
散歩でも気分転換になるよ。,Even a walk can be a change of pace.,気分転換,散歩【さんぽ】でも気分【きぶん】転換【てんかん】になるよ。,Social,polite,even,"<ruby class=""vocab"">気分転換<rt>きぶんてんかん</rt></ruby>",
今日も1日お疲れ様。,Good work today.,お疲れ様,今日【きょう】も1日【ついたち】お疲【つか】れ様【さま】。,Social,polite,good work,"<ruby class=""vocab"">お疲れ様<rt>おつかれさま</rt></ruby>",
明日も頑張ろうね。,Let's do our best tomorrow too.,明日,明日【あす】も頑張【がんば】ろうね。,Social,polite,tomorrow,"<ruby class=""vocab"">明日<rt><span class=""pitch-l"">あ</span><span class=""pitch-h"">す</span></rt></ruby>",
おやすみ、良い夢を。,Good night sweet dreams.,夢,おやすみ、良【よ】い夢【ゆめ】を。,Social,polite,dream,"<ruby class=""vocab"">夢<rt><span class=""pitch-l"">ゆ</span><span class=""pitch-h"">め</span></rt></ruby>",
今日もいい1日になりますように。,May today be a good day.,いい1日,今日【きょう】もいい1日【いちにち】になりますように。,Social,polite,good day,"<ruby class=""vocab"">いい1日<rt>いちにち</rt></ruby>",
熱があるみたい。,It seems like you have a fever.,熱,熱【ねつ】があるみたい。,Child-Health,polite,fever,"<ruby class=""vocab"">熱<rt><span class=""pitch-l"">ね</span><span class=""pitch-h"">つ</span></rt></ruby>",
体温を測ってみて。,Try taking your temperature.,体温,体温【たいおん】を測【はか】ってみて。,Child-Health,polite,temperature,"<ruby class=""vocab"">体温<rt><span class=""pitch-h"">た</span><span class=""pitch-l"">い</span><span class=""pitch-l"">お</span><span class=""pitch-l"">ん</span></rt></ruby>",
病院に連れて行こう。,Let's take you to the doctor.,病院,病院【びょういん】に連【つ】れて行【い】こう。,Child-Health,polite,hospital,"<ruby class=""vocab"">病院<rt><span class=""pitch-l"">びょ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">い</span><span class=""pitch-h"">ん</span></rt></ruby>",
薬を飲んでね。,Take your medicine.,薬,薬【くすり】を飲【の】んでね。,Child-Health,polite,medicine,"<ruby class=""vocab"">薬<rt><span class=""pitch-l"">く</span><span class=""pitch-h"">す</span><span class=""pitch-h"">り</span></rt></ruby>",
お腹が痛いの?,Does your stomach hurt?,お腹,お腹【おなか】が痛【いた】いの?,Child-Health,polite,stomach,"<ruby class=""vocab"">お腹<rt><span class=""pitch-l"">お</span><span class=""pitch-h"">な</span><span class=""pitch-h"">か</span></rt></ruby>",
頭が痛いって言ってる。,They say they have a headache.,頭,頭【あたま】が痛【いた】いって言【い】ってる。,Child-Health,polite,head,"<ruby class=""vocab"">頭<rt><span class=""pitch-l"">あ</span><span class=""pitch-h"">た</span><span class=""pitch-l"">ま</span></rt></ruby>",
吐き気がする?,Do you feel nauseous?,吐き気,吐【は】き気【け】がする?,Child-Health,polite,nausea,"<ruby class=""vocab"">吐き気<rt><span class=""pitch-l"">は</span><span class=""pitch-h"">き</span><span class=""pitch-h"">け</span></rt></ruby>",
よく寝てね。,Get good rest.,寝る,よく寝【ね】てね。,Child-Health,polite,sleep,"<ruby class=""vocab"">寝る<rt><span class=""pitch-l"">ね</span><span class=""pitch-h"">る</span></rt></ruby>",
水分をたくさん取って。,Drink lots of fluids.,水分,水分【すいぶん】をたくさん取【と】って。,Child-Health,polite,fluids,"<ruby class=""vocab"">水分<rt><span class=""pitch-h"">す</span><span class=""pitch-l"">い</span><span class=""pitch-l"">ぶ</span><span class=""pitch-l"">ん</span></rt></ruby>",
予防接種の予約を取った。,I made an appointment for vaccination.,予防接種,予防【よぼう】接種【せっしゅ】の予約【よやく】を取【と】った。,Child-Health,polite,vaccination,"<ruby class=""vocab"">予防接種<rt>よぼうせっしゅ</rt></ruby>",
この子は乳製品アレルギーです。,This child has a dairy allergy.,乳製品アレルギー,この子【こ】は乳製品【にゅうせいひん】アレルギーです。,Child-Health,polite,dairy allergy,"<ruby class=""vocab"">乳製品アレルギー<rt>にゅうせいひんアレルギー</rt></ruby>",
クラスメイトを呼んでいい?,Can I invite my classmates over?,クラスメイト,クラスメイトを呼【よ】んでいい?,Child-Health,polite,classmate,"<ruby class=""vocab"">クラスメイト<rt><span class=""pitch-l"">く</span><span class=""pitch-h"">ら</span><span class=""pitch-h"">す</span><span class=""pitch-h"">め</span><span class=""pitch-l"">い</span><span class=""pitch-l"">と</span></rt></ruby>",
おもちゃを貸してあげて。,Share your toys.,おもちゃ,おもちゃを貸【か】してあげて。,Child-Health,polite,toys,"<span class=""vocab""><span class=""pitch-l"">お</span><span class=""pitch-h"">も</span><span class=""pitch-l"">ちゃ</span></span>",
順番に遊んでね。,Take turns playing.,順番,順番【じゅんばん】に遊【あそ】んでね。,Child-Health,polite,turn,"<ruby class=""vocab"">順番<rt><span class=""pitch-l"">じゅ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">ば</span><span class=""pitch-h"">ん</span></rt></ruby>",
仲間はずれにしないで。,Don't leave anyone out.,仲間,仲間【なかま】はずれにしないで。,Child-Health,polite,leave,"<ruby class=""vocab"">仲間<rt><span class=""pitch-l"">な</span><span class=""pitch-h"">か</span><span class=""pitch-h"">ま</span></rt></ruby>",
ケンカしないで。,Don't fight.,ケンカ,ケンカしないで。,Child-Health,polite,fight,"<ruby class=""vocab"">ケンカ<rt><span class=""pitch-l"">け</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">か</span></rt></ruby>",
仲直りしなさい。,Make up with each other.,仲直,仲直【なかなお】りしなさい。,Child-Health,polite,make up,"<ruby class=""vocab"">仲直<rt><span class=""pitch-l"">な</span><span class=""pitch-h"">か</span><span class=""pitch-l"">な</span><span class=""pitch-l"">お</span></rt></ruby>",
謝りなさい。,Apologize.,謝,謝【あやま】りなさい。,Child-Health,polite,gratitude,"<ruby class=""vocab"">謝<rt><span class=""pitch-h"">あ</span><span class=""pitch-l"">や</span><span class=""pitch-l"">ま</span></rt></ruby>",
許してあげて。,Forgive them.,許,許【ゆる】してあげて。,Child-Health,polite,forgive,"<ruby class=""vocab"">許<rt><span class=""pitch-l"">ゆ</span><span class=""pitch-h"">る</span></rt></ruby>",
優しくしてね。,Be kind.,優,優【やさ】しくしてね。,Child-Health,polite,kind,"<ruby class=""vocab"">優<rt><span class=""pitch-h"">や</span><span class=""pitch-l"">さ</span></rt></ruby>",
思いやりを持って。,Be considerate.,思いやり,思【おも】いやりを持【も】って。,Child-Health,polite,compassion,"<ruby class=""vocab"">思いやり<rt><span class=""pitch-l"">お</span><span class=""pitch-h"">も</span><span class=""pitch-h"">い</span><span class=""pitch-h"">や</span><span class=""pitch-h"">り</span></rt></ruby>",
危ないことはしないで。,Don't do dangerous things.,危,危【あぶ】ないことはしないで。,Child-Health,polite,dangerous,"<ruby class=""vocab"">危<rt><span class=""pitch-l"">あ</span><span class=""pitch-h"">ぶ</span></rt></ruby>",
気をつけてね。,Be careful.,気をつける,気【き】をつけてね。,Child-Health,polite,be careful,"<ruby class=""vocab"">気をつける<rt>きをつける</rt></ruby>",
転ばないでね。,Don't fall.,転ぶ,転【ころ】ばないでね。,Child-Health,polite,fall,"<ruby class=""vocab"">転ぶ<rt><span class=""pitch-l"">こ</span><span class=""pitch-h"">ろ</span><span class=""pitch-h"">ぶ</span></rt></ruby>",
走らないで。,Don't run.,走,走【はし】らないで。,Child-Health,polite,run,"<ruby class=""vocab"">走<rt><span class=""pitch-h"">は</span><span class=""pitch-l"">し</span></rt></ruby>",
静かにしなさい。,Be quiet.,静,静【しず】かにしなさい。,Child-Health,polite,quiet,"<ruby class=""vocab"">静<rt>しず</rt></ruby>",
うるさいよ。,You're being loud.,うるさいよ,うるさいよ。,Child-Health,polite,you're,"<span class=""vocab"">うるさいよ</span>",
大きな声を出さないで。,Don't shout.,声,大【おお】きな声【こえ】を出【だ】さないで。,Child-Health,polite,shout,"<ruby class=""vocab"">声<rt><span class=""pitch-h"">こ</span><span class=""pitch-l"">え</span></rt></ruby>",
行儀よくしなさい。,Behave yourself.,行儀,行儀【ぎょうぎ】よくしなさい。,Child-Health,polite,behave,"<ruby class=""vocab"">行儀<rt><span class=""pitch-l"">ぎょ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">ぎ</span></rt></ruby>",
姿勢を良くして。,Sit up straight.,姿勢,姿勢【しせい】を良【よ】くして。,Child-Health,polite,posture,"<ruby class=""vocab"">姿勢<rt><span class=""pitch-l"">し</span><span class=""pitch-h"">せ</span><span class=""pitch-h"">い</span></rt></ruby>",
肘をつかないで。,Don't put your elbows on the table.,肘,肘【ひじ】をつかないで。,Child-Health,polite,your,"<ruby class=""vocab"">肘<rt><span class=""pitch-l"">ひ</span><span class=""pitch-h"">じ</span></rt></ruby>",
口を閉じて食べなさい。,Eat with your mouth closed.,口を閉じる,口【くち】を閉【と】じて食【た】べなさい。,Child-Health,polite,close mouth,"<ruby class=""vocab"">口を閉じる<rt>くちをとじる</rt></ruby>",
お箸の持ち方が違うよ。,That's not how you hold chopsticks.,お箸の持ち方,お箸【はし】の持【も】ち方【かた】が違【ちが】うよ。,Child-Health,polite,how to hold chopsticks,"<ruby class=""vocab"">お箸の持ち方<rt>おはしのもちかた</rt></ruby>",
お皿を持って食べて。,Hold your plate while eating.,お箸の持ち方,お皿【さら】を持【も】って食【た】べて。,Child-Health,polite,how to hold chopsticks,"<span class=""vocab"">お箸の持ち方</span>",
好き嫌いしないで。,Don't be picky.,好き嫌い,好【す】き嫌【きら】いしないで。,Child-Health,polite,picky eating,"<ruby class=""vocab"">好き嫌い<rt><span class=""pitch-l"">す</span><span class=""pitch-h"">き</span><span class=""pitch-l"">き</span><span class=""pitch-l"">ら</span><span class=""pitch-l"">い</span></rt></ruby>",
食べ物を粗末にしないで。,Don't waste food.,食べ物,食【た】べ物【もの】を粗末【そまつ】にしないで。,Child-Health,polite,food,"<ruby class=""vocab"">食べ物<rt><span class=""pitch-l"">た</span><span class=""pitch-h"">べ</span><span class=""pitch-l"">も</span><span class=""pitch-l"">の</span></rt></ruby>",
感謝して食べなさい。,Eat with gratitude.,感謝,感謝【かんしゃ】して食【た】べなさい。,Child-Health,polite,gratitude,"<ruby class=""vocab"">感謝<rt><span class=""pitch-h"">か</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">しゃ</span></rt></ruby>",
いただきますを言った?,Did you say itadakimasu?,いただきます,いただきますを言【い】った?,Child-Health,polite,itadakimasu,"<span class=""vocab"">いただきます</span>",
ごちそうさまは?,Say gochisousama.,ごちそうさまは,ごちそうさまは?,Child-Health,polite,gochisousama,"<span class=""vocab"">ごちそうさまは</span>",
ありがとうを言いなさい。,Say thank you.,ありがとう,ありがとうを言【い】いなさい。,Child-Health,polite,thank you,"<span class=""vocab""><span class=""pitch-l"">あ</span><span class=""pitch-h"">り</span><span class=""pitch-l"">が</span><span class=""pitch-l"">と</span><span class=""pitch-l"">う</span></span>",
すみませんを言えた?,Did you say sorry?,すみません,すみませんを言【い】えた?,Child-Health,polite,excuse me,"<span class=""vocab"">すみません</span>",
挨拶をちゃんとしてね。,Greet people properly.,挨拶,挨拶【あいさつ】をちゃんとしてね。,Child-Health,polite,greeting,"<ruby class=""vocab"">挨拶<rt><span class=""pitch-h"">あ</span><span class=""pitch-l"">い</span><span class=""pitch-l"">さ</span><span class=""pitch-l"">つ</span></rt></ruby>",
大人の人には敬語を使って。,Use polite language with adults.,敬語,大人【おとな】の人【ひと】には敬語【けいご】を使【つか】って。,Child-Health,polite,polite language,"<ruby class=""vocab"">敬語<rt><span class=""pitch-l"">け</span><span class=""pitch-h"">い</span><span class=""pitch-h"">ご</span></rt></ruby>",
靴を揃えて。,Line up your shoes.,靴,靴【くつ】を揃【そろ】えて。,Child-Health,polite,line,"<ruby class=""vocab"">靴<rt><span class=""pitch-l"">く</span><span class=""pitch-h"">つ</span></rt></ruby>",
脱いだ服をたたんで。,Fold the clothes you took off.,服,脱【ぬ】いだ服【ふく】をたたんで。,Child-Health,polite,clothing,"<ruby class=""vocab"">服<rt><span class=""pitch-l"">ふ</span><span class=""pitch-h"">く</span></rt></ruby>",
使ったものは元に戻して。,Put things back where you found them.,元に戻す,使【つか】ったものは元【もと】に戻【もど】して。,Child-Health,polite,put back,"<ruby class=""vocab"">元に戻す<rt>もとにもどす</rt></ruby>",
自分のことは自分でやって。,Do your own things yourself.,自分,自分【じぶん】のことは自分【じぶん】でやって。,Child-Health,polite,yourself,"<ruby class=""vocab"">自分<rt><span class=""pitch-l"">じ</span><span class=""pitch-h"">ぶ</span><span class=""pitch-h"">ん</span></rt></ruby>",
お手伝いしてくれる?,Can you help me?,手伝,お手伝【てつだ】いしてくれる?,Child-Health,polite,help,"<ruby class=""vocab"">手伝<rt><span class=""pitch-l"">て</span><span class=""pitch-h"">つ</span><span class=""pitch-h"">だ</span></rt></ruby>",
ありがとう助かるよ。,Thank you that helps.,助かる,ありがとう助【たす】かるよ。,Child-Health,polite,helpful,"<ruby class=""vocab"">助かる<rt><span class=""pitch-l"">た</span><span class=""pitch-h"">す</span><span class=""pitch-h"">か</span><span class=""pitch-l"">る</span></rt></ruby>",
よくできました。,Well done.,よくできました,よくできました。,Child-Health,polite,well done,"<span class=""vocab"">よくできました</span>",
その調子。,Keep it up.,調子,その調子【ちょうし】。,Child-Health,polite,child,"<ruby class=""vocab"">調子<rt><span class=""pitch-l"">ちょ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">し</span></rt></ruby>",
